Actual Speed,Multiplier Factor
61,1.595734556
62,1.59029942
63,1.583788933
64,1.576297438
65,1.567919278
66,1.558748796
67,1.548880333
68,1.538408233
69,1.527426838
70,1.516030491
71,1.504313534
72,1.492370309
73,1.48029516
74,1.468182429
75,1.456126458
76,1.44422159
77,1.432562168
78,1.421242534
79,1.41035703
80,1.4
81,1.390244645
82,1.381079603
83,1.372472373
84,1.364390452
85,1.356801338
86,1.349672529
87,1.342971523
88,1.336665817
89,1.33072291
90,1.325110299
91,1.319795482
92,1.314745956
93,1.309929221
94,1.305312773
95,1.30086411
96,1.296550731
97,1.292340132
98,1.288199812
99,1.284097269
100,1.28
101,1.275881865
102,1.271742168
103,1.267586576
104,1.263420754
105,1.25925037
106,1.255081088
107,1.250918576
108,1.246768498
109,1.242636522
110,1.238528314
111,1.23444954
112,1.230405865
113,1.226402956
114,1.22244648
115,1.218542102
116,1.214695488
117,1.210912305
118,1.207198218
119,1.203558895
120,1.2
121,1.196525753
122,1.193134582
123,1.189823466
124,1.186589388
125,1.183429326
126,1.180340261
127,1.177319175
128,1.174363047
129,1.171468857
130,1.168633587
131,1.165854217
132,1.163127727
133,1.160451097
134,1.157821308
135,1.155235341
136,1.152690176
137,1.150182793
138,1.147710173
139,1.145269296
140,1.142857143
141,1.140471195
142,1.138110934
143,1.135776345
144,1.13346741
145,1.131184113
146,1.128926438
147,1.126694368
148,1.124487886
149,1.122306977
150,1.120151623
151,1.118021808
152,1.115917515
153,1.113838728
154,1.111785431
155,1.109757607
156,1.107755239
157,1.105778311
158,1.103826806
159,1.101900708
160,1.1
161,1.098124588
162,1.096274064
163,1.094447942
164,1.092645736
165,1.090866961
166,1.089111131
167,1.087377759
168,1.085666361
169,1.083976451
170,1.082307542
171,1.080659149
172,1.079030786
173,1.077421967
174,1.075832206
175,1.074261019
176,1.072707918
177,1.071172418
178,1.069654033
179,1.068152278
180,1.066666667
181,1.065196764
182,1.063742336
183,1.062303199
184,1.060879171
185,1.059470068
186,1.058075707
187,1.056695905
188,1.055330479
189,1.053979245
190,1.052642021
191,1.051318623
192,1.050008868
193,1.048712573
194,1.047429554
195,1.04615963
196,1.044902616
197,1.043658329
198,1.042426586
199,1.041207204
200,1.04
201,1.038804797
202,1.037621443
203,1.036449794
204,1.035289703
205,1.034141027
206,1.033003619
207,1.031877335
208,1.030762029
209,1.029657556
210,1.028563771
211,1.027480529
212,1.026407684
213,1.025345092
214,1.024292607
215,1.023250084
216,1.022217378
217,1.021194343
218,1.020180835
219,1.019176709
220,1.018181818
221,1.017196018
222,1.016219164
223,1.015251111
224,1.014291713
225,1.013340825
226,1.012398302
227,1.011463999
228,1.01053777
229,1.009619471
230,1.008708956
231,1.00780608
232,1.006910698
233,1.006022665
234,1.005141835
235,1.004268064
236,1.003401206
237,1.002541115
238,1.001687648
239,1.000840658
240,1
